,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
176,Q9UBD5,6.79345794,0.00567261,0.14720044,2,16
177,Q9UNK0,6.94485981,0.00621342,0.14399139,2,16
178,Q5NEH4,1.0,0.0,1.0,1,1
179,O75420,1.0,0.0,1.0,1,1
180,Q5NEH8,7.9588785,0.00251691,0.12564584,3,18
181,P22626,7.21028037,0.00754692,0.13869086,4,17
182,Q53EM3,8.95794393,0.0,0.11163276,1,19
183,Q8IYJ3,7.7,0.00177293,0.12987013,2,17
184,Q5NEI9,9.82429907,0.00186916,0.10178843,2,20
185,Q8IVH2,10.82336449,0.0,0.09239271,1,21
186,Q9H6T3,8.8271028,0.00373482,0.11328745,2,19
187,Q5NEJ4,6.863551400000001,0.00560223,0.14569717,4,16
188,O43927,7.86261682,0.0,0.12718412,1,17
189,P49765,7.86261682,0.0,0.12718412,1,17
190,Q8N699,7.86261682,0.0,0.12718412,1,17
191,Q5NEL1,1.0,1.0,1.0,2,1
192,O14908,1.5,0.0,0.66666667,1,2
193,Q86U70,1.5,0.0,0.66666667,1,2
194,Q5NEL7,6.34953271,0.00373657,0.1574919,3,16
195,P40692,7.34859813,0.0,0.13608038,1,17
196,Q96PU8,7.34859813,0.0,0.13608038,1,17
197,Q5NEM6,1.0,0.0,1.0,1,1
198,P36776,1.0,0.0,1.0,1,1
199,Q5NEM8,7.00373832,0.01610105,0.14278089,6,17
200,P28290,8.00280374,0.0,0.12495621,1,18
201,P52435,8.00280374,0.0,0.12495621,1,18
202,Q4VAK3,7.34672897,0.0065341999999999996,0.136115,2,17
203,Q86XR2,7.99906542,0.00373482,0.1250146,2,18
204,Q9H307,8.00280374,0.0,0.12495621,1,18
205,Q5NEM9,5.99065421,0.01361746,0.16692668,7,15
206,O15131,6.98971963,0.0,0.14306725,1,16
207,P10124,6.98971963,0.0,0.14306725,1,16
208,P35222,6.98971963,0.0,0.14306725,1,16
209,P51825,6.98971963,0.0,0.14306725,1,16
210,Q9BX70,6.98971963,0.0,0.14306725,1,16
211,Q5NEN2,7.17757009,0.0,0.13932292,1,15
212,P61769,6.17850467,0.04825934,0.16185146,7,14
213,Q5NEN3,6.94766355,0.00373482,0.14393328,2,16
214,P30504,5.95233645,0.03234475,0.16800126,5,15
215,Q8TF65,7.94485981,0.00186916,0.12586754,2,17
216,Q5NEP4,9.19439252,0.00932831,0.10876194,6,19
217,P46379,8.2046729,0.01392032,0.12188176,4,18
218,P61077,10.19345794,0.0,0.09810214,1,20
219,Q8TDU6,10.19345794,0.0,0.09810214,1,20
220,Q92982,10.19345794,0.0,0.09810214,1,20
221,Q9NZM5,10.19345794,0.0,0.09810214,1,20
222,Q9UBL3,10.19345794,0.0,0.09810214,1,20
223,Q5NEP5,7.17570093,0.00281084,0.13935921,3,16
224,O00365,7.48130841,0.00074723,0.13366646,2,17
225,Q8N6B3,8.17476636,0.0,0.12232766,1,17
226,Q9Y6C2,6.18971963,0.00601158,0.16155821,3,15
227,Q5NEQ5,1.5,0.0,0.66666667,1,2
228,O75794,1.0,1.0,1.0,2,1
229,Q5NER2,1.0,1.0,1.0,2,1
230,Q8N8R7,1.5,0.0,0.66666667,1,2
231,Q9P2T1,1.5,0.0,0.66666667,1,2
232,Q5NER4,1.0,0.0,1.0,1,1
233,Q9UBE0,1.0,0.0,1.0,1,1
234,Q5NER5,8.55327103,0.0,0.11691434,1,19
235,Q4G0J3,7.55420561,0.00186916,0.13237659,2,18
236,Q5NER8,7.58504673,0.0,0.13183834,1,16
237,Q96CN5,6.58598131,0.01024364,0.15183766,3,15
238,Q5NES5,7.10280374,0.00555893,0.14078947,5,17
239,Q16512,8.10186916,0.0,0.12342831,1,18
240,Q16539,8.10186916,0.0,0.12342831,1,18
241,Q53GD2,6.95981308,0.00248529,0.14368202,2,16
242,Q8IYM9,6.4271028,0.00638103,0.1555911,3,16
243,Q9P2M4,7.25327103,0.00107566,0.13786883,2,16
244,Q5NES6,1.0,0.0,1.0,1,1
245,O75995,1.0,0.0,1.0,1,1
246,Q5NES9,5.70841121,0.01516136,0.17518009,6,15
247,O94979,5.6364486,0.02122566,0.17741668,4,15
248,P01241,6.70747664,0.0,0.14908736,1,16
249,P62328,6.70747664,0.0,0.14908736,1,16
250,Q2KHM9,6.70747664,0.0,0.14908736,1,16
251,Q9Y394,6.70747664,0.0,0.14908736,1,16
252,Q5NET1,7.68037383,0.00947674,0.13020199999999998,3,17
253,P17844,6.82336449,0.01080648,0.14655527,2,16
254,Q9H270,8.67943925,0.0,0.11521482,1,18
255,Q5NET2,8.72897196,0.00373657,0.11456103,3,18
256,P49792,9.72803738,0.0,0.10279566,1,19
257,Q3YBR2,7.73364486,0.00559699,0.12930514,2,17
258,Q5VZL5,9.72803738,0.0,0.10279566,1,19
259,Q5NET3,6.9046729000000004,0.0121581,0.14482945,7,15
260,O75746,7.90373832,0.0,0.12652241,1,16
261,O75956,7.90373832,0.0,0.12652241,1,16
262,Q12891,7.19906542,0.00178176,0.13890692,2,16
263,Q8NHY2,7.90373832,0.0,0.12652241,1,16
264,Q9H1J1,7.90373832,0.0,0.12652241,1,16
265,Q5NET6,1.0,1.0,1.0,2,1
266,A7E1X5,1.5,0.0,0.66666667,1,2
267,Q9Y512,1.5,0.0,0.66666667,1,2
268,Q5NET8,6.67663551,0.01439843,0.14977604,9,16
269,O75157,7.67570093,0.0,0.13028126,1,17
270,P40763,6.00093458,0.01139744,0.16664071,2,15
271,P49407,6.56168224,0.00560845,0.15239994,2,15
272,P51808,7.67570093,0.0,0.13028126,1,17
273,P53365,7.67570093,0.0,0.13028126,1,17
274,Q15053,7.67570093,0.0,0.13028126,1,17
275,Q86UW6,7.67570093,0.0,0.13028126,1,17
276,Q9BVC6,7.67570093,0.0,0.13028126,1,17
