,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
544,O14558,5.46908602,0.0,0.18284591,1,10
545,O15504,5.33915771,0.00063295,0.18729546,2,10
546,O43290,5.46908602,0.0,0.18284591,1,10
547,O95721,5.46908602,0.0,0.18284591,1,10
548,P02511,5.46908602,0.0,0.18284591,1,10
549,P02545,5.38575269,0.00467687,0.18567507,5,10
550,P04049,5.46908602,0.0,0.18284591,1,10
551,P09874,5.46908602,0.0,0.18284591,1,10
552,P13224,5.46908602,0.0,0.18284591,1,10
553,P13984,5.46550179,0.00113806,0.18296582,2,10
554,P28370,5.46908602,0.0,0.18284591,1,10
555,P35579,5.39919355,0.00344075,0.18521285,3,10
556,P49759,5.46908602,0.0,0.18284591,1,10
557,P63165,5.46908602,0.0,0.18284591,1,10
558,Q14511,5.46908602,0.0,0.18284591,1,10
559,Q3L8U1,5.46908602,0.0,0.18284591,1,10
560,Q5SXM1,5.46908602,0.0,0.18284591,1,10
561,Q6P2H3,4.87231183,0.00864156,0.20524138,4,10
562,Q6ZUS5,5.46908602,0.0,0.18284591,1,10
563,Q7Z3E2,5.10707885,0.01099798,0.19580665,4,10
564,Q86TM6,5.19310036,0.0025126,0.19256320000000002,2,10
565,Q8IVH2,5.45295699,0.00052996,0.18338674,2,10
566,Q8IWB9,5.46908602,0.0,0.18284591,1,10
567,Q8IWJ2,5.34184588,0.00607974,0.18720121,5,10
568,Q8IX01,5.34453405,0.00170689,0.18710705,2,10
569,Q8N8R7,5.46908602,0.0,0.18284591,1,10
570,Q8TED9,5.46908602,0.0,0.18284591,1,10
571,Q8TEX9,5.46908602,0.0,0.18284591,1,10
572,Q8WWM7,5.34722222,0.00571426,0.18701299,3,10
573,Q96BD5,5.40815412,0.00370686,0.18490597,3,10
574,Q96CN7,5.30241935,0.00708184,0.18859316,4,10
575,Q96P16,5.46191756,0.0020859000000000003,0.18308588,2,10
576,Q96Q15,5.32930108,0.00597648,0.18764187,3,10
577,Q96S59,5.46908602,0.0,0.18284591,1,10
578,Q9H799,5.46908602,0.0,0.18284591,1,10
579,Q9HA47,5.46908602,0.0,0.18284591,1,10
580,Q9HD45,5.30600358,0.00154214,0.18846576,3,10
581,Q9NP74,5.35528674,0.00066317,0.18673136,2,10
582,Q9NVU7,5.46281362,0.00184046,0.18305585,2,10
583,Q9NXF8,5.46908602,0.0,0.18284591,1,10
584,Q9UIE0,5.46908602,0.0,0.18284591,1,10
585,Q9UNE7,5.40456989,0.00303156,0.18502860000000002,5,10
586,Q9UQE7,5.27732975,0.0025119,0.18948977,5,10
587,Q9Y5P3,5.37679211,0.00116699,0.1859845,2,10
588,Q9Y6I7,5.46908602,0.0,0.18284591,1,10
589,Q81KU2,6.71953405,7e-08,0.14881984,2,12
590,A4D0U5,5.72087814,0.00164405,0.17479834,6,11
591,Q9UGI8,5.72087814,0.00164405,0.17479834,6,11
592,Q81KV0,7.58602151,0.0,0.1318214,1,12
593,P30048,6.58646953,0.00293137,0.15182641,4,11
594,Q81KV7,4.97939068,0.01153128,0.20082778,9,10
595,O75385,5.97894265,0.0,0.16725365,1,11
596,Q08J23,5.97894265,0.0,0.16725365,1,11
597,Q96JB5,5.55958781,0.00225476,0.17986945,4,10
598,Q81KW2,5.95698925,0.00162792,0.16787004,4,11
599,O60879,6.95654122,0.0,0.1437496,1,12
600,P24534,5.80510753,0.00297728,0.1722621,4,10
601,Q549M8,5.05869176,0.00600931,0.19767957,4,10
602,Q9Y224,5.05869176,0.00600931,0.19767957,4,10
603,Q81KY5,1.0,0.0,1.0,1,1
604,P46977,1.0,0.0,1.0,1,1
605,Q81KY6,5.56362007,0.00557304,0.17973909,7,10
606,O15116,5.79435484,0.00070397,0.17258177,2,11
607,P29017,6.48879928,0.00060823,0.15411172,2,11
