protein_b	int_type
Q5NH37	Q8IUX7
Q5NGV7	Q9BTE6
Q5NG68	P19447
Q5NID1	Q8WXW3
Q5NI89	Q6PKC3
Q5NI35	P13747
Q5NHX0	P13747
Q5NF29	Q16534
Q5NF37	P09601
Q5NEB6	P04792
Q5NHE7	O43464
Q5NHL7	O43390
Q5NGC7	P0DMV8
Q5NFW7	Q9NSC5
Q5NGM8	P0DMV8
Q5NGC7	P35914
Q5NGR3	P05204
Q5NHZ0	P13747
Q5NFY5	P31943
Q5NHH6	Q16534
Q5NHX0	Q96RW7
Q5NFN3	Q16534
Q5NG53	Q16534
Q5NIJ3	P09429
Q5NID2	P04233
Q5NGV8	Q9BZL4
Q5NID2	Q96RU2
Q5NFK5	P31153
Q5NGR3	Q7Z2F6
Q5NFB0	Q14573
Q5NIP6	Q5JSL3
Q5NF75	Q92997
Q5NHY6	O60762
Q5NHC6	Q99653
Q5NI02	P46939
Q5NHF2	Q02763
Q5NFR9	Q92835
Q5NF68	Q86VP1
Q5NHR1	Q9BYB0
Q5NGE6	Q92922
Q5NIP8	Q86XR2
Q5NGY1	Q14699
Q5NEC0	Q96LM7
Q5NGF9	Q9BZR9
Q5NIB1	Q7Z3K3
Q5NFR9	Q13227
Q5NIE3	O43439
Q5NID1	Q9NP66
Q5NGC7	Q9H204
Q5NFB0	P55199
Q5NGE6	O60318
Q5NHX8	P36543
Q5NG44	P08133
Q5NEH4	O75420
Q5NFR9	Q96T58
Q5NEC0	P55209
Q5NEH1	P17931
Q5NIE9	Q9UL46
Q5NI79	Q9UIH9
Q5NE99	Q9Y2J2
Q5NGC7	Q6PJW8
Q5NFA9	Q8NDV7
Q5NH48	Q5W0Q7
Q5NGW2	Q6ZQS4
Q5NI93	P98171
Q5NIP5	Q15853
Q5NEB4	P48995
Q5NI40	Q14393
Q5NEA2	Q9HCC8
Q5NHS4	Q9Y4F9
Q5NF74	Q9H0R5
Q5NGF9	O60861
Q5NGF3	Q15717
Q5NIJ6	Q7L2H7
Q5NI85	Q12929
Q5NFL4	O75923
Q5NGV7	Q9UHF1
Q5NEV8	O60941
Q5NGM6	O60869
Q5NEB6	Q8NEU8
Q5NFN4	Q9C005
