"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"11867","5.8682243","0.0","0.1704093","0.0","1","15","false","Q15849","60.0","1","0","0","0.80527103","false","0","Q15849","0","0.0"
"192","5.8682243","0.0","0.1704093","0.0","1","15","false","Q2TAL8","60.0","1","0","0","0.80527103","false","0","Q2TAL8","0","0.0"
"11871","5.8682243","0.0","0.1704093","0.0","1","15","false","Q6XXX2","60.0","1","0","0","0.80527103","false","0","Q6XXX2","0","0.0"
"11873","5.62336449","0.02253207","0.17782948","0.0","2","15","false","Q7Z591","33.5","2","0","0","0.81506542","false","0","Q7Z591","90738","0.5"
"11875","5.8682243","0.0","0.1704093","0.0","1","15","false","Q8NA92","60.0","1","0","0","0.80527103","false","0","Q8NA92","0","0.0"
"11877","5.8682243","0.0","0.1704093","0.0","1","15","false","Q8NDC0","60.0","1","0","0","0.80527103","false","0","Q8NDC0","0","0.0"
"11879","5.8682243","0.0","0.1704093","0.0","1","15","false","Q8WVX3","60.0","1","0","0","0.80527103","false","0","Q8WVX3","0","0.0"
"1683","5.70186916","0.00813469","0.17538109","0.0","2","15","false","Q96LM7","34.0","2","0","0","0.81192523","false","0","Q96LM7","41944","0.5"
"5128","5.8588785","0.00780371","0.17068113","0.0","2","15","false","Q96QZ7","32.0","2","0","0","0.80564486","false","0","Q96QZ7","24686","0.5"
"5811","5.86261682","0.00559699","0.17057229","0.0","2","15","false","Q99459","31.5","2","0","0","0.80549533","false","0","Q99459","16716","0.5"
"11884","5.8364486","0.01622303","0.17133707","0.0","3","15","false","Q99814","24.33333333","3","0","0","0.80654206","false","0","Q99814","38504","0.33333333"
"11886","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9BQ65","60.0","1","0","0","0.80527103","false","0","Q9BQ65","0","0.0"
"11889","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9HBG7","60.0","1","0","0","0.80527103","false","0","Q9HBG7","0","0.0"
"11891","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9HBS4","60.0","1","0","0","0.80527103","false","0","Q9HBS4","0","0.0"
"1701","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9NPJ6","60.0","1","0","0","0.80527103","false","0","Q9NPJ6","0","0.0"
"11894","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9NR12","60.0","1","0","0","0.80527103","false","0","Q9NR12","0","0.0"
"11896","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9NXT0","60.0","1","0","0","0.80527103","false","0","Q9NXT0","0","0.0"
"1730","5.85514019","0.00885776","0.1707901","0.0","3","15","false","Q9UBK9","21.66666667","3","0","0","0.80579439","false","0","Q9UBK9","27446","0.33333333"
"1842","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9UKK3","60.0","1","0","0","0.80527103","false","0","Q9UKK3","0","0.0"
"11900","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9Y303","60.0","1","0","0","0.80527103","false","0","Q9Y303","0","0.0"
"11902","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9Y4W6","60.0","1","0","0","0.80527103","false","0","Q9Y4W6","0","0.0"
"137","5.8682243","0.0","0.1704093","0.0","1","15","false","Q9Y6X8","60.0","1","0","0","0.80527103","false","0","Q9Y6X8","0","0.0"
"11905","7.48598131","0.00192939","0.13358302","0.0","2","17","false","Q5NEC2","2.5","2","0","0","0.74056075","false","0","Q5NEC2","8816","0.5"
"108","7.04392523","0.00281172","0.1419663","0.0","2","16","false","P02461","5.0","2","0","0","0.75824299","false","0","P02461","11022","0.5"
"11908","1.0","0.0","1.0","0.0","1","1","false","Q5NEC8","1.0","1","0","0","1.0","false","0","Q5NEC8","0","0.0"
"621","1.0","0.0","1.0","0.0","1","1","false","Q9ULD4","1.0","1","0","0","1.0","false","0","Q9ULD4","0","0.0"
"11910","8.36074766","0.00378683","0.11960653","0.0","4","18","false","Q5NEE1","1.5","4","0","0","0.70557009","false","0","Q5NEE1","15558","0.25"
"3028","9.35981308","0.0","0.10683974","0.0","1","19","false","P42224","4.0","1","0","0","0.66560748","false","0","P42224","0","0.0"
"1642","9.35981308","0.0","0.10683974","0.0","1","19","false","Q4LDE5","4.0","1","0","0","0.66560748","false","0","Q4LDE5","0","0.0"
"11913","7.38785047","0.00293714","0.13535737","0.0","2","17","false","Q6QIN9","4.0","2","0","0","0.74448598","false","0","Q6QIN9","11968","0.5"
"11916","1.0","1.0","1.0","0.0","2","1","false","Q5NEE2","1.0","2","0","0","1.0","false","0","Q5NEE2","2","0.0"
"11917","1.5","0.0","0.66666667","0.0","1","2","false","P20936","2.0","1","0","0","0.75","false","0","P20936","0","0.0"
"4626","1.5","0.0","0.66666667","0.0","1","2","false","P84077","2.0","1","0","0","0.75","false","0","P84077","0","0.0"
"11920","6.94766355","0.0074609","0.14393328","0.0","3","16","false","Q5NEG0","2.33333333","3","0","0","0.76209346","false","0","Q5NEG0","22606","0.33333333"
"11921","7.94299065","0.00373657","0.12589716","0.0","3","17","false","O75970","1.66666667","3","0","0","0.72228037","false","0","O75970","11310","0.33333333"
"1078","5.95607477","0.01282612","0.16789581","0.0","3","15","false","P06239","9.0","3","0","0","0.80175701","false","0","P06239","46106","0.33333333"
"11924","7.94672897","0.0","0.12583794","0.0","1","17","false","P61006","3.0","1","0","0","0.72213084","false","0","P61006","0","0.0"
"11926","9.4411215","0.0","0.10591962","0.0","1","19","false","Q5NEH0","2.0","1","0","0","0.66235514","false","0","Q5NEH0","0","0.0"
"3330","8.44205607","0.00186916","0.11845456","0.0","2","18","false","Q9BYB0","1.5","2","0","0","0.70231776","false","0","Q9BYB0","5748","0.5"
"11928","5.97009346","0.03796434","0.16750157","0.0","13","15","false","Q5NEH1","1.69230769","13","0","0","0.80119626","false","0","Q5NEH1","112832","0.07692308"
"5186","6.96915888","0.0","0.14348934","0.0","1","16","false","P01266","13.0","1","0","0","0.76123364","false","0","P01266","0","0.0"
"446","6.19345794","0.01168333","0.16146069","0.0","3","16","false","P08572","10.0","3","0","0","0.79226168","false","0","P08572","42232","0.33333333"
"161","6.47943925","0.00970162","0.15433434","0.0","2","15","false","P17931","13.0","2","0","0","0.78082243","false","0","P17931","29520","0.5"
"11932","6.96915888","0.0","0.14348934","0.0","1","16","false","P23769","13.0","1","0","0","0.76123364","false","0","P23769","0","0.0"
"2114","6.96915888","0.0","0.14348934","0.0","1","16","false","P51148","13.0","1","0","0","0.76123364","false","0","P51148","0","0.0"
"11936","6.96915888","0.0","0.14348934","0.0","1","16","false","Q13469","13.0","1","0","0","0.76123364","false","0","Q13469","0","0.0"
"11938","6.96915888","0.0","0.14348934","0.0","1","16","false","Q14974","13.0","1","0","0","0.76123364","false","0","Q14974","0","0.0"
"11940","6.96915888","0.0","0.14348934","0.0","1","16","false","Q9BT23","13.0","1","0","0","0.76123364","false","0","Q9BT23","0","0.0"
