"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"551","6.49418809","0.00204379","0.15398384","0.0","3","13","false","P50502","3.66666667","3","0","0","0.69476733","false","0","P50502","112718","0.33333333"
"19192","5.77492075","0.0","0.17316255","0.0","1","14","false","Q7CIY2","5.0","1","0","0","0.73472663","false","0","Q7CIY2","0","0.0"
"19194","6.059528","0.0","0.16502936","0.0","1","12","false","Q7CIY4","22.0","1","0","0","0.71891511","false","0","Q7CIY4","0","0.0"
"19196","5.87566044","0.00603902","0.17019363","0.0","9","12","false","Q7CIY7","3.33333333","9","0","0","0.72912998","false","0","Q7CIY7","485184","0.1372549"
"19199","6.87530821","0.0","0.14544803","0.0","1","13","false","Q00532","9.0","1","0","0","0.67359399","false","0","Q00532","0","0.0"
"1860","6.87530821","0.0","0.14544803","0.0","1","13","false","Q9NYH9","9.0","1","0","0","0.67359399","false","0","Q9NYH9","0","0.0"
"19205","6.67594223","3.6971E-4","0.14979159","0.0","2","12","false","Q9UPQ0","7.0","2","0","0","0.68466988","false","0","Q9UPQ0","19894","0.5"
"19208","5.00704473","7.0447E-4","0.19971861","0.0","2","12","false","Q7CIZ0","52.5","2","0","0","0.7773864","false","0","Q7CIZ0","35236","0.5"
"4453","6.0066925","0.0","0.16648097","0.0","1","13","false","Q5BKZ1","2.0","1","0","0","0.72185042","false","0","Q5BKZ1","0","0.0"
"19211","4.98450159","0.00211514","0.20062186","0.0","4","12","false","Q7CIZ2","27.0","4","0","0","0.7786388","false","0","Q7CIZ2","128892","0.25"
"19213","5.98414935","0.0","0.16710813","0.0","1","13","false","P50221","4.0","1","0","0","0.72310281","false","0","P50221","0","0.0"
"19216","5.98414935","0.0","0.16710813","0.0","1","13","false","Q49A88","4.0","1","0","0","0.72310281","false","0","Q49A88","0","0.0"
"19218","4.78372666","0.0160488","0.20904204","0.0","9","12","false","Q7CIZ3","9.55555556","9","0","0","0.78979296","false","0","Q7CIZ3","1442462","0.11882716"
"19222","5.78337443","0.0","0.17290943","0.0","1","13","false","P55061","9.0","1","0","0","0.73425698","false","0","P55061","0","0.0"
"4508","5.78337443","0.0","0.17290943","0.0","1","13","false","Q15075","9.0","1","0","0","0.73425698","false","0","Q15075","0","0.0"
"190","5.78266995","7.0447E-4","0.1729305","0.0","2","13","false","Q15751","5.0","2","0","0","0.73429611","false","0","Q15751","32872","0.5"
"19229","5.12398732","0.00449655","0.19516051","0.0","5","12","false","Q7CIZ7","7.6","5","0","0","0.77088959","false","0","Q7CIZ7","394052","0.2"
"19230","6.12363508","0.0","0.1633017","0.0","1","13","false","O75153","5.0","1","0","0","0.71535361","false","0","O75153","0","0.0"
"11834","6.12363508","0.0","0.1633017","0.0","1","13","false","P15311","5.0","1","0","0","0.71535361","false","0","P15311","0","0.0"
"19236","1.0","0.0","1.0","0.0","1","1","false","Q7CJ05","1.0","1","0","0","1.0","false","0","Q7CJ05","0","0.0"
"19237","1.0","0.0","1.0","0.0","1","1","false","Q15782","1.0","1","0","0","1.0","false","0","Q15782","0","0.0"
